"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","新審査官は非協力的<br>EZICの活動は阻まれる"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","これ以上の援助は不可能<br>EZICは活動を再凍結"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","家族はオブリスタンに送られる<br>幸運を祈る"
"end:stuff-on-walls","You are under arrest for violating direct orders.","貴方は指揮命令違反で逮捕された。"
"end:stuff-on-walls","The penalty is forced labor.","刑罰は強制労働である。"
"end:stuff-on-walls","Your family will be sent back to their village.","家族は村へ送り返されることになる。"
"end:stuff-on-walls","The border will remain open under a replacement inspector.","国境検問所は代わりの審査官により<br>引き続き運営される。"
"end:stuff-on-walls","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","上官から貴方がアルストツカの所有物を<br>窃取したと報告があった。"
"end:arrested-boss-buddy","The penalty is forced labor.","刑罰は強制労働である。"
"end:arrested-boss-buddy","Your family will be sent back to their village.","家族は村へ送り返されることになる。"
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","国境検問所は代わりの審査官により<br>引き続き運営される。"
"end:arrested-boss-buddy","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:wall-destroyed","The Grestin Border wall has been destroyed.","グレスティンの壁は破壊された。"
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","貴方は検問所の防衛に<br>失敗したとして逮捕された。"
"end:wall-destroyed","Your family will be sent back to their village.","家族は村へ送り返されることになる。"
"end:wall-destroyed","The border will reopen under a replacement inspector.","国境検問所は代わりの審査官により再開される。"
"end:wall-destroyed","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","やぁ、審査官。"
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","君の最近の行動捜査させてもらった。"
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","EZICスター組織と自称する連中との<br>関与発覚した。"
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","グループのメンバーがアルストツカで逮捕された。"
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","その中に君に協力を得ていたと<br>自白する者いた。"
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","これは反逆罪の中でも最高の罪に値する。"
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","さようなら審査官。"
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","貴方の死刑は今晩執行される。"
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","家族の安否は不明。"
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZICは壊滅し、正義は回復される。"
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[牢獄の扉の下にメモが差し込まれた]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","審査官殿<br>貴方は最後に我らを裏切った"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","今のEZICはもう終わりだ<br>貴方の家族に援助はできない"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","国境は崩壊した。"
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","EZICスター組織にとって輝かしい一日だが、<br>貴方は最後に我らを裏切った。"
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","腐敗と貪欲の衰退と共にEZICは勢力を伸ばす。"
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","貴方の裏切りは、<br>間違った側についたことを意味する。"
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","この革命に貴方と家族の居場所はない。"
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","さようなら審査官殿。"
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","新アルストツカに栄光あれ。"
"end:help-few-ezic","Hello inspector.","やぁ、審査官。"
"end:help-few-ezic","We have audited your recent activities.","君の最近の行動捜査させてもらった。"
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","EZICスター組織と自称する連中との<br>関与発覚した。"
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","グループのメンバーがアルストツカで逮捕された。"
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","その中に君に協力を得ていたと<br>自白する者いた。"
"end:help-few-ezic","This represents treason of the highest order.","これは反逆罪の中でも最高の罪に値する。"
"end:help-few-ezic","Goodbye inspector.","さようなら審査官。"
"end:help-few-ezic","The execution is scheduled for tonight.","貴方の死刑は今晩執行される。"
"end:help-few-ezic","Your family's safety is unknown.","家族の安否は不明。"
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZICは壊滅し、正義は回復される。"
"end:help-few-ezic","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","貴方は北方地区行きの夜行列車に乗った。<br>乗客はほとんどいない。"
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","間に合わせの偽造パスポートと再入国券を<br>購入した。ひどい出来だ。"
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","間に合わせの偽造パスポートと再入国券を<br>人数分購入した。ひどい出来だ。"
"end:escape","You reach the border crossing at dawn. The line is immense.","明け方に国境へ到着した。<br>長蛇の列ができている。"
"end:escape","Six hours later.","6時間後。"
"end:escape","Your documents.","書類を出せ。"
"end:escape","Here.","これです。"
"end:escape","You are entering alone?","入国は 1人だけか？"
"end:escape","Yes.","はい。"
"end:escape","I come to visit relatives.","親戚を訪ねに来ました。"
"end:escape","No, my family as well.","いえ、家族も一緒です。"
"end:escape","Hand over all documents now.","すべての書類を出せ。"
"end:escape","We come to visit relatives.","皆で親戚を訪ねに来ました。"
"end:escape","I do not care why you come. Wait here.","なぜ来たのかなど関係ない。ここで待て。"
"end:escape","*KACHUNK*","*カチャン*"
"end:escape","Welcome to Obristan. Next!","オブリスタンへようこそ。次！"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","審査官殿！なんて輝かしい日だろう！"
"end:help-ezic-hold-fire","The border has been pierced.","国境は崩壊した。"
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","腐敗と貪欲の衰退と共にEZICは勢力を伸ばす。"
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","貴方と家族はより良い住まいへ<br>引っ越すことになる。"
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","審査官としての役目はもう終わった。<br>我らは工作員を求めている。"
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","我らと共に進み、革命を完全なものとしよう！"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","新アルストツカに栄光あれ。"
"end:ignore-ezic","Hello inspector.","やぁ、審査官。"
"end:ignore-ezic","We have audited your activities for the past 20 years.","過去20年間の君の行動捜査した。"
